scenario,level,method,deployment_coverage_mean,deployment_coverage_mcse,harmful_exposure_mean,harmful_exposure_mcse,selective_value_mean,selective_value_mcse,oracle_regret_mean,oracle_regret_mcse,n_rep
S0_clean,base,bb_dm,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S0_clean,base,bb_dr,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S0_clean,base,bb_dr_ess_safeguard,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S0_clean,base,bootstrap_dr,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S0_clean,base,bootstrap_snips,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S0_clean,base,snips_asym_lcb,0.66829,0.0,0.0,0.0,0.6538676784505524,2.4831550196201783e-18,0.0,0.0,2000
S1_overlap,good,bb_dm,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,good,bb_dr,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,good,bb_dr_ess_safeguard,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,good,bootstrap_dr,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,good,bootstrap_snips,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,good,snips_asym_lcb,0.66559,0.0,0.0,0.0,0.653954254926225,3.92768671851465e-18,0.0,0.0,800
S1_overlap,moderate,bb_dm,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,moderate,bb_dr,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,moderate,bb_dr_ess_safeguard,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,moderate,bootstrap_dr,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,moderate,bootstrap_snips,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,moderate,snips_asym_lcb,0.6677099999999999,3.92768671851465e-18,0.0,0.0,0.6545900520287685,0.0,0.0,0.0,800
S1_overlap,poor,bb_dm,0.6684699999999999,3.92768671851465e-18,0.0,0.0,0.6537823744300085,3.92768671851465e-18,0.0,0.0,800
S1_overlap,poor,bb_dr,0.6684699999999999,3.92768671851465e-18,0.0,0.0,0.6537823744300085,3.92768671851465e-18,0.0,0.0,800
S1_overlap,poor,bb_dr_ess_safeguard,0.6684699999999999,3.92768671851465e-18,0.0,0.0,0.6537823744300085,3.92768671851465e-18,0.0,0.0,800
S1_overlap,poor,bootstrap_dr,0.6684699999999999,3.92768671851465e-18,0.0,0.0,0.6537823744300085,3.92768671851465e-18,0.0,0.0,800
S1_overlap,poor,bootstrap_snips,0.6684699999999999,3.92768671851465e-18,0.0,0.0,0.6537823744300085,3.92768671851465e-18,0.0,0.0,800
